1;"Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20)"
1;"Extraction Solvents: Water For Injection And Sodium Chloride (99.91:0.09)"
2;"Vitamin A Concentrate (Oily Form)"
2;"Synthetic"
3;"Acetylsalicylic Acid"
4;"Acetylsalicylic Acid"
5;"Hypericum Perforatum L."
6;"Tincture From Agnus Castus Fruit (1:10)"
6;"Extraction Solvent: Ethanol 69.5% V/V"
7;"Benzocaine"
8;"Dexamethasone Base"
8;"Dexamethasone Sodium Phosphate"
9;"Estriol"
10;"Reproterol Hydrochloride"
10;"Sodium Cromoglicate"
11;"Acetylsalicylic Acid"
12;"Chlorphenamine Maleate"
12;"Phenylephrine Bitartrate"
12;"Paracetamol"
13;"Abacavir"
13;"Lamivudine"
14;"Abacavir"
14;"Lamivudine"
15;"Abacavir"
15;"Lamivudine"
16;"Abacavir"
16;"Lamivudine"
17;"Abacavir"
17;"Lamivudine"
18;"Abacavir"
18;"Lamivudine"
19;"Abacavir"
20;"Abacavir"
21;"Abacavir"
22;"Abacavir"
22;"Lamivudine"
23;"Abacavir"
23;"Lamivudine"
24;"Abacavir"
25;"Abacavir"
26;"Abacavir"
27;"Abacavir"
28;"Abacavir"
29;"Abacavir"
29;"Lamivudine"
30;"Abacavir"
31;"Abacavir"
32;"Abacavir"
32;"Lamivudine"
33;"Abacavir"
33;"Lamivudine"
34;"Abacavir"
34;"Lamivudine"
35;"Abacavir"
35;"Lamivudine"
36;"Abacavir"
36;"Lamivudine"
37;"Abacavir"
37;"Lamivudine"
38;"Abacavir"
38;"Lamivudine"
39;"Abacavir"
39;"Lamivudine"
40;"Abacavir"
40;"Lamivudine"
41;"Abacavir"
41;"Lamivudine"
42;"Abacavir"
42;"Lamivudine"
43;"Abacavir"
43;"Lamivudine"
44;"Abacavir"
44;"Lamivudine"
45;"Abacavir"
45;"Lamivudine"
46;"Abacavir"
46;"Lamivudine"
47;"Abacavir"
47;"Lamivudine"
48;"Abacavir"
48;"Lamivudine"
49;"Abacavir"
49;"Lamivudine"
50;"Abacavir"
50;"Lamivudine"
51;"Abacavir"
51;"Lamivudine"
52;"Abacavir"
52;"Lamivudine"
53;"Abacavir"
53;"Lamivudine"
54;"Abacavir"
54;"Lamivudine"
55;"Abacavir"
55;"Lamivudine"
56;"Abacavir"
56;"Lamivudine"
57;"Abacavir"
57;"Lamivudine"
58;"Zidovudine"
58;"Abacavir"
58;"Lamivudine"
59;"Abacavir"
59;"Lamivudine"
60;"Abacavir"
60;"Lamivudine"
61;"Abacavir"
61;"Lamivudine"
62;"Abacavir"
62;"Lamivudine"
63;"Abacavir"
63;"Lamivudine"
64;"Abacavir"
64;"Lamivudine"
65;"Abacavir"
65;"Lamivudine"
66;"Abacavir"
66;"Lamivudine"
67;"Abacavir"
67;"Lamivudine"
68;"Abacavir"
68;"Lamivudine"
69;"Abacavir"
69;"Lamivudine"
70;"Abacavir"
70;"Lamivudine"
71;"Abacavir"
71;"Lamivudine"
72;"Abacavir"
72;"Lamivudine"
73;"Abacavir"
73;"Lamivudine"
74;"Abacavir"
74;"Lamivudine"
75;"Abacavir"
75;"Lamivudine"
76;"Abacavir"
76;"Lamivudine"
77;"Abacavir"
77;"Lamivudine"
78;"Abacavir"
78;"Lamivudine"
79;"Abacavir"
79;"Lamivudine"
80;"Abacavir Sulfate"
80;"Lamivudine"
81;"Zidovudine"
81;"Abacavir"
81;"Lamivudine"
82;"Zidovudine"
82;"Abacavir"
82;"Lamivudine"
83;"Abacavir"
83;"Lamivudine"
84;"Abacavir"
84;"Lamivudine"
85;"Dabigatran Etexilate"
86;"Abacavir"
86;"Lamivudine"
87;"Abacavir"
87;"Lamivudine"
88;"Pefloxacin"
88;"Pefloxacin Mesilate Dihydrate"
89;"Paracetamol"
90;"Rivaroxaban"
91;"Insulin Glargine"
92;"Insulin Glargine"
93;"Insulin Glargine"
94;"Apixaban"
95;"Atorvastatin"
96;"Fentanyl"
97;"Brivaracetam"
98;"Abiraterone Acetate"
99;"Amoxicillin"
99;"Clavulanic Acid"
100;"Tranylcypromine"
101;"Erythromycin"
101;"Erythromycin Ethylsuccinate"
101;"Erythromycin Lactobionate"
101;"Erythromycin Stearate"
102;"Erythromycin Ethylsuccinate"
103;"Erythromycin"
103;"Erythromycin Ethylsuccinate"
104;"Soft Extract Of Capsicum"
104;"Corresponding To 4.8 Mg Of Capsaicinoids"
